IA_ang,IA_imag,IA_mag,IA_name,IA_real,IB_ang,IB_imag,IB_mag,IB_name,IB_real,IC_ang,IC_imag,IC_mag,IC_name,IC_real,VA_ang,VA_imag,VA_mag,VA_name,VA_real,VB_ang,VB_imag,VB_mag,VB_name,VB_real,VC_ang,VC_imag,VC_mag,VC_name,VC_real,capture_time,crc_ok,dfreq1,dfreq1_name,dst_ip,dst_mac,dst_port,fracsec,frame_number,frame_time,freq1,freq1_name,ip_flags,ip_fragmented,ip_length,ip_version,leap,packet_size,payload_size,ph_encoding,ph_format,pmu_flag,pmu_id,pmu_index,pmu_name,soc,src_ip,src_mac,src_port,stat_data_error,stat_data_sorting,stat_pmu_error,stat_time_sync,stream_id,tcp_ack,tcp_flags,tcp_seq,tcp_window,time,time_base,timequality_mult,timequality_ns,timequality_ver,timestamp,ttl,label
-1.809920613,-549.096597,565.178316,Ia,-133.863570,2.384095372,385.571755,561.153865,Ib,-407.710782,0.291307235,163.426077,569.023125,Ic,545.049754,-1.492197952,-107415.926609,107748.574734,Va,8460.145863,2.693208949,46627.385224,107557.912381,Vb,-96925.700735,0.598615648,60841.067316,107970.070113,Vc,89195.855106,1780886515.3318808,True,0.000000,ROCOF,10.81.0.175,,61530,5545155,241,1780886515.330584,50.000000,FREQ,DF,False,116,4,27,120,76,polar,float,0,1,1,IEC61850-PMU,1780886515,10.81.0.175,,4712,False,2,False,False,1,2061849846,PA,1721002813,254,1780886520.545155,1000000,0,0,False,2026-06-08T02:42:00.545155,128,0
-1.809890229,-549.097559,565.175119,Ia,-133.846129,2.383869329,385.784283,561.329018,Ib,-407.750848,0.291614875,163.608590,569.074751,Ic,545.048898,-1.492039609,-107427.432567,107761.461592,Va,8478.168226,2.693191542,46624.109424,107546.464420,Vb,-96914.572844,0.598781013,60863.258367,107983.273646,Vc,89196.699312,1780886515.351612,True,0.000000,ROCOF,10.81.0.175,,61530,5880632,243,1780886515.350568,50.000425,FREQ,DF,False,116,4,27,120,76,polar,float,0,1,1,IEC61850-PMU,1780886515,10.81.0.175,,4712,False,2,False,False,1,2061849846,PA,1721002889,254,1780886520.880632,1000000,0,0,False,2026-06-08T02:42:00.880632,128,0
-1.809755289,-549.083166,565.141721,Ia,-133.764128,2.384433825,385.394563,561.096825,Ib,-407.799801,0.291446151,163.502691,569.026259,Ic,545.030048,-1.492002077,-107416.922476,107751.238056,Va,8481.395427,2.693133135,46629.137471,107545.005950,Vb,-96910.535255,0.598865001,60867.168544,107976.920910,Vc,89186.340000,1780886515.3717299,True,0.000000,ROCOF,10.81.0.175,,61530,6216210,245,1780886515.370583,50.000766,FREQ,DF,False,116,4,27,120,76,polar,float,0,1,1,IEC61850-PMU,1780886515,10.81.0.175,,4712,False,2,False,False,1,2061849846,PA,1721002965,254,1780886521.21621,1000000,0,0,False,2026-06-08T02:42:01.216210,128,0
-1.809565964,-549.088418,565.121073,Ia,-133.655287,2.384069752,385.586447,561.160045,Ib,-407.705394,0.291509237,163.577687,569.167568,Ic,545.155080,-1.491697059,-107427.035982,107763.983391,Va,8515.166256,2.693445929,46603.986320,107556.924327,Vb,-96935.857297,0.599076472,60884.583549,107974.360153,Vc,89171.351546,1780886515.3919857,True,0.000000,ROCOF,10.81.0.175,,61530,6551754,247,1780886515.39062,50.001075,FREQ,DF,False,116,4,27,120,76,polar,float,0,1,1,IEC61850-PMU,1780886515,10.81.0.175,,4712,False,2,False,False,1,2061849846,PA,1721003041,254,1780886521.551754,1000000,0,0,False,2026-06-08T02:42:01.551754,128,0
-1.809472053,-549.118130,565.138735,Ia,-133.607896,2.384557253,385.511868,561.340926,Ib,-408.024797,0.291890911,163.803732,569.230070,Ic,545.152464,-1.491751997,-107438.360849,107774.874620,Va,8510.124410,2.693601425,46587.585633,107553.860856,Vb,-96940.341705,0.599236938,60904.335049,107984.011222,Vc,89169.550026,1780886515.411933,True,0.000000,ROCOF,10.81.0.175,,61530,6887449,249,1780886515.410589,50.001037,FREQ,DF,False,116,4,27,120,76,polar,float,0,1,1,IEC61850-PMU,1780886515,10.81.0.175,,4712,False,2,False,False,1,2061849846,PA,1721003117,254,1780886521.887449,1000000,0,0,False,2026-06-08T02:42:01.887449,128,0
-1.809324589,-549.191632,565.194109,Ia,-133.540003,2.384753171,385.383534,561.270456,Ib,-408.049085,0.292272553,163.993037,569.165043,Ic,545.027641,-1.491636142,-107435.063766,107772.556940,Va,8522.388336,2.693816818,46572.810667,107567.964480,Vb,-96963.087249,0.599328699,60925.532010,108007.083776,Vc,89183.012368,1780886515.4316447,True,0.018829,ROCOF,10.81.0.175,,61530,7222843,251,1780886515.430584,50.001879,FREQ,DF,False,116,4,27,120,76,polar,float,0,1,1,IEC61850-PMU,1780886515,10.81.0.175,,4712,False,2,False,False,1,2061849846,PA,1721003193,254,1780886522.222843,1000000,0,0,False,2026-06-08T02:42:02.222843,128,0
-1.809207876,-549.169868,565.155676,Ia,-133.466828,2.384808483,385.140798,560.949789,Ib,-407.837261,0.292334533,163.996503,569.059853,Ic,544.916749,-1.491407613,-107449.644209,107789.140032,Va,8548.255280,2.694049828,46553.706004,107576.029199,Vb,-96981.207022,0.599417715,60929.672957,108000.352472,Vc,89172.030859,1780886515.451802,True,0.006734,ROCOF,10.81.0.175,,61530,7558387,253,1780886515.450584,50.001107,FREQ,DF,False,116,4,27,120,76,polar,float,0,1,1,IEC61850-PMU,1780886515,10.81.0.175,,4712,False,2,False,False,1,2061849846,PA,1721003269,254,1780886522.558387,1000000,0,0,False,2026-06-08T02:42:02.558387,128,0
-1.808817735,-549.171271,565.103582,Ia,-133.240281,2.385052458,385.110250,561.050262,Ib,-408.004279,0.292450122,164.081784,569.137189,Ic,544.971842,-1.491227254,-107446.219173,107787.252524,Va,8567.484583,2.694090371,46547.519978,107570.819935,Vb,-96978.398035,0.599614995,60951.062051,108007.083456,Vc,89165.565727,1780886515.4717517,True,0.005018,ROCOF,10.81.0.175,,61530,7893931,255,1780886515.470583,50.001273,FREQ,DF,False,116,4,27,120,76,polar,float,0,1,1,IEC61850-PMU,1780886515,10.81.0.175,,4712,False,2,False,False,1,2061849846,PA,1721003345,254,1780886522.893931,1000000,0,0,False,2026-06-08T02:42:02.893931,128,0
-1.809123539,-549.021423,564.991331,Ia,-133.381714,2.385279416,385.030979,561.069700,Ib,-408.105811,0.292430227,164.027980,568.988163,Ic,544.832407,-1.491184373,-107448.365103,107789.773923,Va,8572.292527,2.694132569,46547.899905,107581.156309,Vb,-96989.680931,0.599803079,60962.065178,107996.868011,Vc,89145.667923,1780886515.491793,True,-0.003666,ROCOF,10.81.0.175,,61530,8229593,257,1780886515.490606,50.000700,FREQ,DF,False,116,4,27,120,76,polar,float,0,1,1,IEC61850-PMU,1780886515,10.81.0.175,,4712,False,2,False,False,1,2061849846,PA,1721003421,254,1780886523.229593,1000000,0,0,False,2026-06-08T02:42:03.229593,128,0
-1.808717784,-549.164688,565.083107,Ia,-133.180565,2.385235156,385.141699,561.204714,Ib,-408.186971,0.292422293,164.020160,568.976030,Ic,544.822090,-1.491016616,-107440.702864,107783.531404,Va,8589.820137,2.694422689,46516.141771,107572.790334,Vb,-96995.637917,0.599822953,60967.523586,108003.398981,Vc,89149.847220,1780886515.511622,True,-0.002537,ROCOF,10.81.0.175,,61530,8565037,259,1780886515.510576,50.000809,FREQ,DF,False,116,4,27,120,76,polar,float,0,1,1,IEC61850-PMU,1780886515,10.81.0.175,,4712,False,2,False,False,1,2061849846,PA,1721003497,254,1780886523.565037,1000000,0,0,False,2026-06-08T02:42:03.565037,128,0
